code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Unie H.A.V.E.L.;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
529303;Benešov;8 476;8 437;8 476;1 052;10;2;624;3;802;597;109;35;112;6;11;948;3;6;414;2 577;3;21;314;5;58;17;16;682;10
532568;Bernartice;148;148;148;4;0;0;17;0;6;7;1;4;0;0;0;7;0;0;3;39;0;0;37;0;3;0;0;20;0
530743;Bílkovice;121;118;121;7;0;0;15;0;8;18;0;2;0;0;0;3;0;0;2;47;1;0;6;0;0;0;0;9;0
532380;Blažejovice;80;77;80;6;0;0;5;0;3;11;0;0;3;0;0;5;1;0;0;29;0;0;6;0;0;0;0;8;0
532096;Borovnice;54;53;54;2;0;0;2;0;4;4;1;0;1;0;0;3;0;0;1;29;0;0;5;0;0;0;0;1;0
532924;Bukovany;393;393;393;50;0;0;20;0;53;20;8;0;6;0;0;49;0;1;11;127;0;4;8;0;1;1;4;30;0
529451;Bystřice;2 205;2 200;2 205;204;6;2;187;0;158;136;25;12;11;1;1;223;3;1;96;826;1;1;72;0;9;5;4;211;5
532690;Ctiboř;83;83;83;3;0;0;5;0;4;4;2;0;1;0;0;11;0;0;2;35;0;0;11;0;0;0;0;5;0
529478;Čakov;71;71;71;7;0;0;6;0;8;3;0;0;2;0;0;6;0;0;8;15;0;0;6;0;0;0;0;10;0
529486;Čechtice;750;744;750;70;1;1;54;2;50;75;5;6;15;0;0;58;1;0;35;226;0;3;81;1;8;2;2;44;4
529516;Čerčany;1 451;1 443;1 451;200;1;0;97;1;126;66;22;11;15;0;1;191;0;1;107;424;1;9;52;1;12;3;1;98;3
529532;Červený Újezd;187;187;187;13;0;0;5;0;13;15;3;2;3;0;2;23;0;0;3;53;0;0;30;0;4;0;0;18;0
529541;Český Šternberk;82;82;82;9;0;0;3;0;6;3;1;0;1;0;0;6;0;0;8;25;0;0;3;0;0;0;0;17;0
529567;Čtyřkoly;403;400;403;72;0;0;20;1;43;15;1;2;11;2;0;46;0;0;39;91;0;1;11;0;4;0;0;38;3
532746;Děkanovice;40;40;40;0;0;0;2;0;0;3;0;0;0;0;0;3;0;0;0;13;0;0;11;0;0;0;0;8;0
529621;Divišov;830;816;830;52;0;0;60;1;86;78;3;7;14;2;1;76;0;1;39;256;0;2;49;0;4;3;0;79;3
529648;Dolní Kralovice;445;445;445;24;0;0;45;0;24;66;8;2;9;0;0;47;0;1;9;150;0;1;30;0;0;2;0;26;1
532151;Drahňovice;58;57;58;8;0;0;1;0;2;1;1;0;1;0;0;6;0;0;3;18;0;1;5;0;1;0;0;9;0
532843;Dunice;38;38;38;5;0;0;6;0;3;3;0;0;0;0;0;5;0;0;1;10;0;0;4;0;0;0;0;1;0
529702;Heřmaničky;374;374;374;27;1;0;22;0;34;39;4;3;0;0;0;25;0;1;10;143;0;0;14;1;5;0;2;43;0
532932;Hradiště;19;19;19;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;10;0;0;2;0;1;0;0;1;0
529737;Hulice;173;173;173;20;0;0;11;0;11;20;1;0;2;0;0;12;0;0;4;70;0;1;6;0;0;1;0;13;1
